Zipcode,Current Population,EVs on the Road,BEVs per 1k People,PHEVs per 1k People,DCFC Ports,Level 2 Ports,DCFC per 1k People,Level 2 per 1k People,Sum of Travel Time to Work (Less than 10 minutes),Sum of Travel Time to Work (10 to 14 minutes),Sum of Travel Time to Work (15 to 19 minutes),Sum of Travel Time to Work (20 to 24 minutes),Sum of Travel Time to Work (25 to 29 minutes),Sum of Travel Time to Work (30 to 34 minutes),Sum of Travel Time to Work (35 to 44 minutes),Sum of Travel Time to Work (45 to 59 minutes),Sum of Travel Time to Work (60 or more minutes),Sum of Median Household Income in Past 12 Months,ChargePoint Network (hours),EV Connect (hours),GE WattStation(hours),ChargePoint Network (kWh),EV Connect (kWh),GE WattStation (kWh),ChargePoint Network (count),EV Connect (count),GE WattStation (count),Total Sum of Charging Time (hours),Total Sum of Energy (kWh),Total Sum of Active Station Count
14615,"16,330",40,1.22,1.22,1,1,9.98,358.42,6319,8701,11377,11124,3198,4015,1121,1158,2304,"$263,729.00 ",,,,,,,,,,,,
14616,"27,605",120,2.17,2.17,,,5.54,176.42,9323,14823,18201,22604,8615,9701,2707,1903,2170,"$333,848.00 ",,,,,,,,,,,,
14617,"22,832",176,3.85,3.85,,27,407.32,"2,553.35",9598,9878,15688,19021,7481,8341,2321,1698,1241,"$433,358.00 ",658,,,23588.901,,,112,,,658,23588.901,112
14618,"22,955",384,8.36,8.36,,5,221.87,"1,728.25",13732,19422,18059,12287,2225,2200,863,688,1207,"$600,929.00 ",,,,,,,,,,,,
14619,"14,353",46,1.6,1.6,,,10.66,339.3,5949,11219,8386,6878,1300,3946,1112,954,1899,"$262,912.00 ",,,,,,,,,,,,
14620,"24,519",224,4.57,4.57,,3,179.13,"1,356.05",17966,22522,21444,12731,2572,3885,1270,1269,2375,"$276,129.00 ",,,,,,,,,,,,
14621,"33,814",28,0.41,0.41,,27,341.4,"1,875.44",11703,14086,16151,13359,3979,7813,1766,2743,3893,"$172,594.00 ",,,,,,,,,,,,
14622,"12,060",52,2.16,2.16,,,12.69,403.81,3991,5266,9064,9946,3459,5051,1094,1360,919,"$356,419.00 ",,,,,,,,,,,,
14623,"25,952",110,2.12,2.12,,45,446.09,"2,451.33",19604,19945,17527,12235,4189,6531,1392,975,1870,"$334,110.00 ",780,,,104522.824,,,281,,,780,104522.824,281
14624,"36,265",216,2.98,2.98,,2,140.44,"1,100.98",15707,23774,31799,27963,9948,10132,3471,2363,2545,"$428,096.00 ",,,,,,,,,,,,
14625,"10,026",140,6.98,6.98,,,15.26,485.74,3129,7517,9083,7024,1354,1955,428,460,845,"$504,535.00 ",,,,,,,,,,,,
14626,"30,769",150,2.44,2.44,,3,16.51,397.22,13916,16568,20240,22758,8183,9858,1806,2217,1837,"$387,639.00 ",,,,,,,,,,,,
14627,"2,470",18,3.64,3.64,,2,"2,215.38","18,261.13",2391,2461,600,109,45,109,34,41,0,"($4,666,666,662.00)",,,,,,,,,,,,
14642,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
14649,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14692,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,"56,422",150,1.33,1.33,3,8,173.55,"1,049.36",35792,22039,18147,18799,10122,18177,13382,17255,11321,"($662,099,331.00)",,,,,,,,,,,,
12010,"28,704",84,1.46,1.46,,4,255.61,"1,657.78",20197,11939,8304,8992,4732,9204,6862,9455,4795,"$316,419.00 ",,,,,,,,,,,,
12016,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12068,"2,958",8,1.35,1.35,,,51.72,"1,646.38",2219,1986,1842,1131,552,395,689,777,466,"$367,609.00 ",,,,,,,,,,,,
